LON,LAT,EDO,CLAVE,ESTACION,ene-24
-92.755278,15.071111,CHIS,ENCRUCIJADA,"La Encrucijada, Chis. SMN*",0.00
-90.702222,16.580833,CHIS,LACCP,"Lacantún, Chis.",45.30
-91.73,16.114444,CHIS,LMONTEBELLO,"Lagunas de Montebello, Chis. SMN*",43.20
-93.561111,16.695833,CHIS,LFLCP,"Las Flores, Chis.",4.00
-93.100556,16.941667,CHIS,CHICP,"Manuel Moreno Torres, Chis.",4.70
-92.883333,15.45,CHIS,MAPCP,"Mapastepec, Chis.",0.10
-93.384444,16.0675,CHIS,MONTERREYCFE,"Monterrey, Chis. CFE*",0.20
-92.2675,15.333333,CHIS,MOTOZINTLA,"Motozintla, Chis. SGT*",0.30
-93.598889,17.178611,CHIS,MALCP,"Nezahualcóyotl, Chis.",110.21
-93.8975,16.241111,CHIS,AROCP,"Observatorio de Arriaga, Chis.",0.00
-92.1,16.2,CHIS,COOCP,"Observatorio de Comitán, Chis.",4.80
-92.633333,16.733333,CHIS,SCOCP,"Observatorio de San Cristóbal, Chis.",0.80
-93.133333,16.75,CHIS,TXOCP,"Observatorio de Tuxtla Gutiérrez, Chis.",1.50
-93.150556,17.220556,CHIS,OCOCP,"Ocotepec, Chis.",58.40
-91.990278,17.525833,CHIS,PLQCP,"Palenque, Chis. SMN*",76.84
-91.968056,15.848611,CHIS,PCOCP,"Puente Concordia, Chis.",4.10
-92.616667,16.741667,CHIS,SCRCP,"Puente Morelos, Chis.",1.10
-92.649167,16.725278,CHIS,PTEMORELOS,"Puente Morelos, Chis. SGT*",0.20
-92.618056,16.7475,CHIS,QUIOSCO,"Quiosco, Chis. SGT*",1.40
-92.666667,15.916667,CHIS,REFCP,"Reforma, Chis.",0.00
-93.079167,16.158333,CHIS,REVCP,"Revolución Mexicana, Chis.",0.01
-92.35,17.566667,CHIS,SAACP,"Salto de Agua, Chis.",89.90
-92.603056,16.727222,CHIS,SCCASASCFE,"San Cristóbal de las Casas, Chis. CFE*",2.40
-92.951389,15.872778,CHIS,SFRANCISCOII,"San Francisco 2, Chis. SGT*",0.10
-93.085,17.561111,CHIS,SJOCP,"San Joaquín, Chis.",68.50
-92.239444,15.775,CHIS,SMICP,"San Miguel, Chis.",0.00
-92.731389,17.035556,CHIS,SPNICHTALUCUM,"San Pedro Nichtalucum, Chis. SGT*",65.70
