LON,LAT,EDO,CLAVE,ESTACION,jul-24
-92.299167,15.126667,CHIS,FARCP,"Finca Argovia, Chis.",549.6
-92.325278,15.173889,CHIS,FHACP,"Finca Hamburgo, Chis.",551.3
-92.918333,17.441389,CHIS,FIMADERO,"Francisco I. Madero, Chis. SGT*",242.6
-92.476111,15.346667,CHIS,FPZCP,"Finca la Paz, Chis.",254.5
-93.125,16.975,CHIS,GRICP,"Grijalva, Chis.",170.7
-92.402778,14.997222,CHIS,HUECP,"Huehuetán, Chis.",246.2
-92.472222,15.133333,CHIS,HUICP,"Huixtla, Chis.",599.8
-92.454167,16.712778,CHIS,HUIXTAN,"Huixtán, Chis. SGT*",69.2
-92.471389,15.146944,CHIS,HUIXTLA,"Huixtla, Chis. SGT*",517.3
-92.72,15.886111,CHIS,JALTENANGO,"Jaltenango, Chis. SGT*",332.6
-92.725,15.866667,CHIS,JAPCP,"Jaltenango, Chis.",381.27
-93.381389,17.364167,CHIS,JDGCP,"Juan de Grijalva, Chis.",375.3
-93.381389,17.364167,CHIS,JGRIJALVACFE,"Túneles Juan de Grijalva, Chis. CFE*",378.7
-92.898611,15.996389,CHIS,JSBCP,"Juan Sabines, Chis.",267.6
-90.702222,16.580833,CHIS,LACCP,"Lacantún, Chis.",139.1
-93.561111,16.695833,CHIS,LFLCP,"Las Flores, Chis.",231.4
